,GAP,Instance,Stack,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
6,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,0,13,65457,15441,3.93493,2501,850928
7,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,1,13,65457,15441,3.76469,2501,850928
8,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,2,13,53061,12562,3.09975,1077,689780
9,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,0,13,67877,16079,3.1251,2822,882388
10,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,1,13,67877,16079,2.96406,2822,882388
11,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,2,13,67877,16079,2.95942,2822,882388
189,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,0,14,5437,8219,0.399575,60,70668
190,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,1,14,5437,8219,0.344093,60,70668
191,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,2,14,5156,8016,0.285849,10,67015
318,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,0,14,6503,5872,0.48828,96,84526
319,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,1,14,6503,5872,0.468704,96,84526
320,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,2,15,20794,34530,1.19205,9,270309
609,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,0,15,3387,6854,0.152057,35,44018
610,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,1,15,3387,6854,0.145318,35,44018
611,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,2,15,3223,6714,0.135264,0,41886
900,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,0,16,1185,2431,0.0584728,17,15392
901,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,1,16,1185,2431,0.0572853,17,15392
902,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,2,16,1075,2347,0.0518104,0,13962
912,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,0,16,2619,3811,0.195076,31,34034
913,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,1,16,2619,3811,0.180158,31,34034
914,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,2,16,2590,3832,0.179785,0,33657
1014,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,0,17,880,2224,0.0718909,13,11427
1015,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,1,17,880,2224,0.0627281,13,11427
1016,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,2,17,811,2148,0.0564196,0,10530
1116,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,0,17,1259,2229,0.0650235,24,16354
1117,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,1,17,1259,2229,0.0630635,24,16354
1118,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,2,17,1410,2346,0.0637368,0,18317
1347,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,0,18,1192,3242,0.0942892,4,15483
1348,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,1,18,1192,3242,0.0825042,4,15483
1349,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,2,18,1158,3208,0.0788535,0,15041
1416,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,0,19,94,637,0.00837165,0,1209
1417,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,1,19,94,637,0.00809009,0,1209
1418,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,2,19,94,637,0.00798162,0,1209
1644,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,0,24,126,674,0.0142751,0,1625
1645,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,1,24,126,674,0.0126078,0,1625
1646,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,2,24,126,674,0.0115838,0,1625
1758,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,0,26,317,1064,0.0296357,0,4108
1759,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,1,26,317,1064,0.0242779,0,4108
1760,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,2,26,317,1064,0.0214279,0,4108
1947,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,0,29,209,754,0.0185234,2,2704
1948,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,1,29,202,747,0.0158813,0,2613
1949,0,0,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,2,29,202,747,0.0144723,0,2613
81,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,0,13,65457,15441,2.77609,2501,850928
82,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,1,13,65457,15441,2.52462,2501,850928
83,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.1,2,13,53061,12562,2.10056,1077,689780
174,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,0,13,67877,16079,4.07204,2822,882388
175,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,1,13,67877,16079,3.91716,2822,882388
176,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1,2,13,67877,16079,3.87298,2822,882388
273,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,0,14,5437,8219,0.325083,60,70668
274,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,1,14,5437,8219,0.364881,60,70668
275,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.2,2,14,5156,8016,0.294592,10,67015
369,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,0,14,6503,5872,0.463527,96,84526
370,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,1,14,6503,5872,0.450743,96,84526
371,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.3,2,15,20794,34530,1.20206,9,270309
465,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,0,16,1185,2431,0.0624559,17,15392
466,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,1,16,1185,2431,0.0597639,17,15392
467,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.5,2,16,1075,2347,0.0534403,0,13962
507,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,0,15,3387,6854,0.240996,35,44018
508,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,1,15,3387,6854,0.235136,35,44018
509,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.4,2,15,3223,6714,0.219581,0,41886
729,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,0,16,2619,3811,0.201738,31,34034
730,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,1,16,2619,3811,0.180127,31,34034
731,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.6,2,16,2590,3832,0.175208,0,33657
1008,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,0,17,880,2224,0.0781742,13,11427
1009,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,1,17,880,2224,0.0703673,13,11427
1010,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.7,2,17,811,2148,0.0646285,0,10530
1224,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,0,17,1259,2229,0.0883671,24,16354
1225,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,1,17,1259,2229,0.0875267,24,16354
1226,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.8,2,17,1410,2346,0.098737,0,18317
1302,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,0,18,1192,3242,0.0664071,4,15483
1303,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,1,18,1192,3242,0.0622385,4,15483
1304,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,1.9,2,18,1158,3208,0.0570331,0,15041
1545,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,0,24,126,674,0.00992127,0,1625
1546,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,1,24,126,674,0.0089994,0,1625
1547,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,3,2,24,126,674,0.00856003,0,1625
1605,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,0,19,94,637,0.00631768,0,1209
1606,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,1,19,94,637,0.0060518,0,1209
1607,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,2,2,19,94,637,0.0059275,0,1209
1827,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,0,26,317,1064,0.0299348,0,4108
1828,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,1,26,317,1064,0.0264349,0,4108
1829,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,4,2,26,317,1064,0.0230143,0,4108
2124,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,0,29,209,754,0.0149406,2,2704
2125,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,1,29,202,747,0.0141921,0,2613
2126,0,1,5 0 4 6 13 11 8 10 7 3 2 12 9 1 ,5,2,29,202,747,0.0141479,0,2613
54,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.1,0,14,54184,51917,2.55268,1868,704379
55,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.1,1,14,54184,51917,2.27515,1868,704379
56,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.1,2,14,52235,50967,2.13083,1098,679042
216,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.2,0,14,12356,14889,0.898948,322,160615
217,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.2,1,14,12356,14889,0.822023,322,160615
218,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.2,2,14,11657,14449,0.523712,77,151528
423,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1,0,13,60451,14195,3.01197,2367,785850
424,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1,1,13,60451,14195,2.45476,2367,785850
425,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1,2,13,60451,14195,2.46654,2367,785850
438,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.3,0,15,5696,9696,0.423165,42,74035
439,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.3,1,15,5696,9696,0.408852,42,74035
440,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.3,2,15,5497,9565,0.391615,0,71448
597,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.4,0,15,7170,7438,0.502358,211,93197
598,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.4,1,15,7170,7438,0.497827,211,93197
599,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.4,2,15,6251,7006,0.468554,0,81250
669,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.5,0,16,4564,7336,0.32782,151,59319
670,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.5,1,16,4564,7336,0.314029,151,59319
671,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.5,2,17,31545,80792,1.7863,0,410072
1074,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.7,0,17,414,1010,0.0363555,0,5369
1075,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.7,1,17,414,1010,0.0350292,0,5369
1076,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.7,2,17,414,1010,0.0290976,0,5369
