Instance,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
0,1.1,0,4831,4403057,6154026,47.545,352997,13071114
0,1.1,1,4831,4146013,6100185,47.5702,132872,12310210
0,1.1,2,4831,3931494,5983246,44.6113,0,11662439
0,1.2,0,4877,505609,694836,3.31497,84339,1507479
0,1.2,1,4877,453784,684190,3.01094,39505,1353046
0,1.2,2,4877,385595,639464,2.72719,0,1147451
0,1.3,0,5023,582524,743912,4.54711,114471,1743214
0,1.3,1,5023,494027,715839,3.51103,44007,1479848
0,1.3,2,5023,372568,604709,2.7979,0,1114445
0,1.4,0,5119,902829,860417,6.29231,328842,2713838
0,1.4,1,5119,618856,780768,4.63455,101084,1862536
0,1.4,2,5119,391805,593839,3.36318,0,1179088
0,1.5,0,5525,2886688,2248441,16.5573,1448662,8732569
0,1.5,1,5507,2168846,2610265,15.8204,473709,6573056
0,1.5,2,5337,1342382,1505756,11.4861,0,4067111
0,1.6,0,5587,393964,348998,1.83816,171635,1188918
0,1.6,1,5639,455595,557431,2.73428,79417,1377809
0,1.6,2,5639,256489,378803,1.68323,0,775434
0,1.7,0,5639,1148540,844681,7.44543,495517,3465060
0,1.7,1,5639,725784,738689,5.68315,151822,2196770
0,1.7,2,5549,341602,385562,3.18908,0,1032497
0,1.8,0,6037,275391,326163,2.38068,80805,826135
0,1.8,1,6037,190728,284764,1.27782,20955,574598
0,1.8,2,6037,131842,221018,0.930103,0,395890
0,1.9,0,6037,249326,283017,2.09586,76927,750996
0,1.9,1,6037,172097,248439,1.70875,20102,520803
0,1.9,2,6037,92971,150310,0.977495,0,279558
0,1,0,4807,71055992,69786217,1051.2,310611,210540535
0,1,1,4807,71055992,69786217,1087.26,310611,210540535
0,1,2,4807,71055992,69786217,965.234,310611,210540535
0,2,0,5563,1338410,179877,7.60146,625539,4033952
0,2,1,6037,673171,622473,4.75754,130964,2034136
0,2,2,6037,345871,372705,2.86433,0,1043910
0,3,0,8055,2674019,2238648,12.799,1364240,8161596
0,3,1,6731,1595419,1111261,10.2371,334008,4878561
0,3,2,7077,1057283,1539495,7.54573,0,3234701
0,4,0,7565,183354,103688,1.61793,81660,549661
0,4,1,7533,83270,70204,0.728569,5052,251428
0,4,2,7673,109398,95706,0.836094,0,331312
0,5,0,8173,64035,30641,0.530361,29479,191908
0,5,1,8765,41959,63285,0.5678,1100,126108
0,5,2,8765,39145,60490,0.491687,0,117594
1,1.1,0,3735,201614,223116,2.24012,15558,600330
1,1.1,1,3735,193097,222144,2.10088,7884,575562
1,1.1,2,3735,177923,214010,1.98141,0,529610
1,1.2,0,3735,479014,165799,2.93448,108987,1446117
1,1.2,1,3735,396928,161569,2.83732,45104,1197766
1,1.2,2,3735,304286,139008,2.3504,0,918258
1,1.3,0,4197,525290,533954,4.18579,163508,1592201
1,1.3,1,4197,385284,493483,2.90544,51925,1168005
1,1.3,2,4197,258570,388163,2.10027,0,783753
1,1.4,0,4197,1767732,1117313,13.1717,720321,5370360
1,1.4,1,4197,1213868,1025092,10.5477,248744,3694650
1,1.4,2,4433,700259,1145733,7.2646,0,2125900
1,1.5,0,4307,399546,256135,1.96717,176175,1204999
1,1.5,1,4307,252535,226686,1.56699,54810,762528
1,1.5,2,4413,888221,1221161,6.37926,0,2701022
1,1.6,0,4387,314096,233369,2.67091,118534,943790
1,1.6,1,4387,213941,208749,1.3676,38432,644828
1,1.6,2,4163,250175,72921,1.94231,0,753983
1,1.7,0,4387,74353,71672,0.810843,13456,222780
1,1.7,1,4387,61328,67464,0.691611,4051,184509
1,1.7,2,4387,51829,61722,0.608693,0,155865
1,1.8,0,4297,76749,45051,0.923875,16057,230122
1,1.8,1,4297,61109,41991,0.784342,4723,183994
1,1.8,2,4297,50145,37562,0.488954,0,150819
1,1.9,0,4297,8708,1540,0.100885,882,26187
1,1.9,1,4297,7822,1470,0.096642,221,23590
1,1.9,2,4297,7127,1418,0.0889744,0,21493
1,1,0,3735,947852,930928,7.43454,5164,2812713
1,1,1,3735,947852,930928,7.15546,5164,2812713
1,1,2,3735,947852,930928,7.07261,5164,2812713
1,2,0,4297,11381,1533,0.137986,1297,34223
1,2,1,4297,10037,1470,0.122558,323,30267
1,2,2,4297,9046,1398,0.11305,0,27251
1,3,0,4887,493840,143409,2.36815,208718,1484168
1,3,1,4887,246113,102009,1.52667,30652,743653
1,3,2,4887,157179,70276,1.12462,0,474413
1,4,0,5009,668368,115449,2.73241,373168,2015064
